ID,employee_id,camera_no,confidence,name,time,branch_id,status
183021,2021070503,3,0.77,,2024-12-02 15:36:02,,1
183022,2006110115,3,0.64,,2024-12-02 15:44:22,,1
183023,2022120105s,3,0.71,,2024-12-02 15:47:36,,1
183024,2022120105s,1,0.67,,2024-12-02 15:47:37,,1
183025,2022033101,3,0.66,,2024-12-02 15:47:39,,1
183026,2011051501,0,0.65,,2024-12-02 15:48:14,,1
183027,2021110703,3,0.63,,2024-12-02 15:52:59,,1
183028,2010061401s,3,0.65,,2024-12-02 15:53:20,,1
183029,2010061401s,1,0.63,,2024-12-02 15:53:21,,1
183030,2024041501,1,0.63,,2024-12-02 15:57:06,,1
183031,2021110106,3,0.65,,2024-12-02 16:01:16,,1
183032,2020022702,1,0.68,,2024-12-02 16:02:47,,1
183033,2023102201,1,0.63,,2024-12-02 16:03:36,,1
183034,2012060303s,0,0.67,,2024-12-02 16:05:30,,1
183035,2019111901,3,0.68,,2024-12-02 16:07:41,,1
183036,2009071904,3,0.66,,2024-12-02 16:12:34,,1
183037,2010061701,2,0.69,,2024-12-02 16:14:21,,1
183038,2009120902,1,0.66,,2024-12-02 16:15:30,,1
183039,2022102302,3,0.68,,2024-12-02 16:17:08,,1
183040,2022080102,2,0.69,,2024-12-02 16:19:02,,1
183041,2008090801,2,0.63,,2024-12-02 16:22:59,,1
183042,2024020502,3,0.69,,2024-12-02 16:23:32,,1
183043,2009080108,1,0.65,,2024-12-02 16:24:54,,1
183044,2001060106,1,0.64,,2024-12-02 16:25:03,,1
183045,2024070905,3,0.66,,2024-12-02 16:27:55,,1
183046,2020121402,3,0.68,,2024-12-02 16:29:36,,1
183047,2022120127,3,0.71,,2024-12-02 16:31:53,,1
183048,2022120127,1,0.65,,2024-12-02 16:32:04,,1
183049,2022033101,1,0.67,,2024-12-02 16:32:40,,1
183050,2005121801,1,0.66,,2024-12-02 16:34:45,,1
183051,2002021608,0,0.63,,2024-12-02 16:34:46,,1
183052,2006120301,0,0.66,,2024-12-02 16:36:58,,1
183053,2017021202,3,0.68,,2024-12-02 16:40:42,,1
183054,2006110115,0,0.68,,2024-12-02 16:42:15,,1
183055,2012060307,0,0.67,,2024-12-02 16:42:58,,1
183056,2006120301,3,0.68,,2024-12-02 16:43:24,,1
183057,2019030304,0,0.74,,2024-12-02 16:45:21,,1
183058,2006030104,1,0.67,,2024-12-02 16:45:24,,1
183059,2022062701,3,0.65,,2024-12-02 16:49:39,,1
183060,2012030109,2,0.68,,2024-12-02 16:50:38,,1
183061,2010122204,3,0.64,,2024-12-02 16:54:59,,1
183062,2021070502,1,0.65,,2024-12-02 16:58:12,,1
183063,20130226001,0,0.68,,2024-12-02 16:59:01,,1
183064,2021062904,1,0.68,,2024-12-02 16:59:21,,1
183065,2012080703,3,0.64,,2024-12-02 17:00:47,,1
183066,2020070204,0,0.74,,2024-12-02 17:02:51,,1
183067,2021063006,0,0.75,,2024-12-02 17:02:54,,1
183068,2022033101,2,0.65,,2024-12-02 17:02:55,,1
183069,2018052801,1,0.79,,2024-12-02 17:03:57,,1
183070,2020062101,1,0.68,,2024-12-02 17:05:04,,1
183071,2022122005,3,0.64,,2024-12-02 17:07:00,,1
183072,2022090403,3,0.79,,2024-12-02 17:08:03,,1
183073,2022090403,1,0.72,,2024-12-02 17:08:05,,1
